"('10.8.8.130', '51278', '207.241.224.2', '443', 'TLS')",5,5.062087059,184.3113303,0.987734889,3.452262878,0.292035103,1.265521765,1.293733382,1.673746064,316,83,186.6,101.7852642,10360.24,264,31,134.6,101.7852642,VPN-P2P
"('10.8.8.130', '51279', '207.241.224.2', '443', 'TLS')",5,5.071208,181.6135327,0.985958375,3.486262083,0.295939922,1.267802,1.310861833,1.718358744,316,83,184.2,99.09470218,9819.76,264,31,132.2,99.09470218,VPN-P2P
"('10.8.8.130', '51280', '207.241.224.2', '443', 'TLS')",5,5.054358959,183.6038967,0.989245133,3.514044046,0.28313303,1.26358974,1.325360006,1.756579145,316,83,185.6,100.6451191,10129.44,264,31,133.6,100.6451191,VPN-P2P
"('10.8.8.130', '51281', '207.241.224.2', '443', 'TLS')",5,6.563805103,141.9908095,0.76175327,5.075845957,0.292347193,1.640951276,1.997036729,3.988155696,316,83,186.4,101.5551082,10313.44,264,31,134.4,101.5551082,VPN-P2P
"('207.241.224.2', '443', '10.8.8.130', '51278', 'TLS')",10,4.780339003,1950.070904,2.091901849,2.440841198,2.72E-05,0.531148778,0.762771205,0.581819912,1360,83,932.2,530.6047116,281541.36,1308,31,880.2,530.6047116,VPN-P2P
"('207.241.224.2', '443', '10.8.8.130', '51279', 'TLS')",10,4.769800901,1954.379269,2.096523567,2.453244925,3.10E-05,0.529977878,0.765310357,0.585699943,1360,83,932.2,530.6047116,281541.36,1308,31,880.2,530.6047116,VPN-P2P
"('207.241.224.2', '443', '10.8.8.130', '51280', 'TLS')",10,4.711274862,1978.65764,2.122567732,2.446039915,2.72E-05,0.523474985,0.758459452,0.575260741,1360,83,932.2,530.6047116,281541.36,1308,31,880.2,530.6047116,VPN-P2P
"('207.241.224.2', '443', '10.8.8.130', '51281', 'TLS')",10,5.332306862,1748.211467,1.875360938,3.109642982,2.72E-05,0.59247854,0.933202012,0.870865996,1360,83,932.2,530.6047116,281541.36,1308,31,880.2,530.6047116,VPN-P2P
"('10.8.8.130', '51300', '207.241.224.2', '443', 'TLS')",5,3.737802982,248.2741879,1.337684202,2.609698057,0.277338982,0.934450746,0.972693091,0.946131849,316,83,185.6,100.6451191,10129.44,264,31,133.6,100.6451191,VPN-P2P
"('10.8.8.130', '51298', '207.241.224.2', '443', 'TLS')",5,3.70567894,251.7757245,1.34928041,2.502473116,0.31509304,0.926419735,0.91485155,0.836953359,316,83,186.6,101.7852642,10360.24,264,31,134.6,101.7852642,VPN-P2P
"('10.8.8.130', '51299', '207.241.224.2', '443', 'TLS')",5,3.672974825,250.7504254,1.361294384,2.50760293,0.286654949,0.918243706,0.923905471,0.85360132,316,83,184.2,99.09470218,9819.76,264,31,132.2,99.09470218,VPN-P2P
"('207.241.224.2', '443', '10.8.8.130', '51300', 'TLS')",9,2.159298182,3870.702097,4.168020923,0.726590157,0.001107931,0.269912273,0.255689521,0.065377131,1360,83,928.6666667,517.3421391,267642.8889,1308,31,876.6666667,517.3421391,VPN-P2P
"('207.241.224.2', '443', '10.8.8.130', '51298', 'TLS')",9,2.236553907,3736.999127,4.024047876,0.721866131,0.000127077,0.279569238,0.257997836,0.066562883,1360,83,928.6666667,517.3421391,267642.8889,1308,31,876.6666667,517.3421391,VPN-P2P
"('207.241.224.2', '443', '10.8.8.130', '51299', 'TLS')",9,2.199896812,3799.269108,4.091100978,0.720276833,0.002249002,0.274987102,0.256375783,0.065728542,1360,83,928.6666667,517.3421391,267642.8889,1308,31,876.6666667,517.3421391,VPN-P2P
"('10.8.8.130', '51302', '207.241.224.2', '443', 'TLS')",5,3.006158113,306.3711106,1.663252501,1.875252008,0.273147106,0.751539528,0.657380836,0.432149564,316,83,184.2,99.09470218,9819.76,264,31,132.2,99.09470218,VPN-P2P
"('207.241.224.2', '443', '10.8.8.130', '51302', 'TLS')",9,2.161254883,3867.197741,4.164247388,0.582890987,0.000799894,0.27015686,0.181158584,0.032818433,1360,83,928.6666667,517.3421391,267642.8889,1308,31,876.6666667,517.3421391,VPN-P2P
